Team ID: 128435, ELO: 1585.5398042679026
Team ID: 109096, ELO: 1581.4031098978014
Team ID: 140777, ELO: 1567.313072188761
Team ID: 128725, ELO: 1565.7720616803256
Team ID: 135580, ELO: 1549.7728154621223
Team ID: 154965, ELO: 1547.3413611894237
Team ID: 62752, ELO: 1530.5475359708896
Team ID: 154359, ELO: 1526.5959048849336
Team ID: 154906, ELO: 1516.4882932946357
Team ID: 154323, ELO: 1511.1902141340477
Team ID: 137898, ELO: 1506.3631739419584
Team ID: 154524, ELO: 1502.7805033477828
Team ID: 109097, ELO: 1501.5065724417943
Team ID: 128201, ELO: 1501.107906352045
Team ID: 154966, ELO: 1499.1364932655995
Team ID: 97178, ELO: 1488.8590235940544
Team ID: 94559, ELO: 1488.733873595854
Team ID: 112702, ELO: 1486.1962966413253
Team ID: 70312, ELO: 1470.4791529897727
Team ID: 70313, ELO: 1457.5900182395155
Team ID: 108107, ELO: 1452.659453921343
Team ID: 154515, ELO: 1448.1572204884371
Team ID: 53953, ELO: 1436.7005529746598
Team ID: 155031, ELO: 1410.993210075274
Team ID: 112703, ELO: 1371.074989874671
